"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
General,General,General,Reading Config File....,02-06-2023 11:34:15
General,General,General,Config Data has been added to dictionary,02-06-2023 11:34:16
General,General,General,Data added to queue successfully,02-06-2023 11:34:43
General,General,General,Folder is Created at location for output folder:Data\Output\02-06-2023\NCARD_0,02-06-2023 11:34:56
General,General,General,Output Report File Creation Completed,02-06-2023 11:34:57
General,General,Failure,Application Access Failure,02-06-2023 11:35:55
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,02-06-2023 11:38:35
General,General,General,Reading Config File....,02-06-2023 11:38:38
General,General,General,Config Data has been added to dictionary,02-06-2023 11:38:41
General,General,General,Total Number of Transaction to be Processed:0,02-06-2023 11:38:41
General,General,General,Folder is Created at location for output folder:Data\Output\02-06-2023\NCARD_1,02-06-2023 11:38:42
General,General,General,Output Report File Creation Completed,02-06-2023 11:38:42
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,02-06-2023 11:43:08
General,General,General,Reading Config File....,02-06-2023 11:43:12
General,General,General,Config Data has been added to dictionary,02-06-2023 11:43:14
General,General,General,Total Number of Transaction to be Processed:0,02-06-2023 11:43:15
General,General,General,Folder is Created at location for output folder:Data\Output\02-06-2023\NCARD_2,02-06-2023 11:43:15
General,General,General,Output Report File Creation Completed,02-06-2023 11:43:15
General,General,Failure,Application Access Failure,02-06-2023 11:44:18
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,02-06-2023 11:46:33
General,General,General,Reading Config File....,02-06-2023 11:46:37
General,General,General,Config Data has been added to dictionary,02-06-2023 11:46:39
General,General,General,Total Number of Transaction to be Processed:0,02-06-2023 11:46:40
General,General,General,Folder is Created at location for output folder:Data\Output\02-06-2023\NCARD_3,02-06-2023 11:46:40
General,General,General,Output Report File Creation Completed,02-06-2023 11:46:41
General,General,Failure,Application Access Failure,02-06-2023 11:47:27
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,02-06-2023 11:51:25
General,General,General,Reading Config File....,02-06-2023 11:51:28
General,General,General,Config Data has been added to dictionary,02-06-2023 11:51:31
General,General,General,Total Number of Transaction to be Processed:0,02-06-2023 11:51:32
General,General,General,Folder is Created at location for output folder:Data\Output\02-06-2023\NCARD_4,02-06-2023 11:51:32
General,General,General,Output Report File Creation Completed,02-06-2023 11:51:33
General,General,Failure,Application Access Failure,02-06-2023 11:52:56
General,General,General,RPA {Your Process} Process Interrupted due to :test at: System.Activities,02-06-2023 11:54:31
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,23-08-2023 01:56:19
General,General,General,Reading Config File....,23-08-2023 01:56:23
General,General,General,Config Data has been added to dictionary,23-08-2023 01:56:23
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,23-08-2023 01:57:21
General,General,General,Reading Config File....,23-08-2023 01:57:24
General,General,General,Config Data has been added to dictionary,23-08-2023 01:57:25
General,General,General,Total Number of Transaction to be Processed:21,23-08-2023 01:57:25
General,General,General,Folder is Created at location for output folder:Data\Output\23-08-2023\GTORDER_6,23-08-2023 01:57:25
General,General,General,Output Report File Creation Completed,23-08-2023 01:57:25
